year,country,avg_temperature_°c,co2_emissions_tons_capita,sea_level_rise_mm,rainfall_mm,population,renewable_energy_,extreme_weather_events,forest_area_,climate_risk_score,risk_level,carbon_alert
2011,UK,0.294314381270903,0.2512820512820513,0.3249999999999999,0.865492393915132,0.1112566242998334,0.7951002227171492,0.7857142857142857,0.6928213689482471,36.69,Orta Risk,Normal Durum
2016,China,0.9163879598662208,0.2205128205128205,0.55,0.1032826261008807,0.9721401430866462,0.5946547884187082,0.6428571428571428,0.5175292153589316,57.85,Yüksek Risk,Normal Durum
2009,Japan,0.9698996655518394,0.4871794871794871,0.575,0.4391513210568455,0.1242677331931005,0.8864142538975501,0.0714285714285714,0.2971619365609348,55.28,Yüksek Risk,Normal Durum
2015,USA,0.1872909698996655,0.7384615384615384,0.025,0.6012810248198559,0.0350892167565068,0.4097995545657016,0.7142857142857142,0.4223706176961602,48.24,Orta Risk,Yüksek Karbon Emisyonu Uyarısı
2014,Japan,0.4648829431438126,0.523076923076923,0.95,0.9411529223378704,0.151170053925274,0.6035634743875279,0.6428571428571428,0.2971619365609348,63.88,Yüksek Risk,Normal Durum
2014,South Africa,0.0,0.0307692307692307,0.7,0.821857485988791,0.1608902538965115,0.6302895322939867,0.9285714285714284,0.2621035058430718,33.56,Orta Risk,Normal Durum
2018,UK,0.5986622073578595,0.8666666666666666,0.5,0.1457165732586068,0.3788337775026841,0.4164810690423163,0.3571428571428571,0.1619365609348915,67.36,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2011,Russia,0.608695652173913,0.0666666666666666,0.925,0.6629303442754203,0.7399271537643012,0.1425389755011136,0.3571428571428571,0.3622704507512521,46.22,Orta Risk,Normal Durum
2022,Germany,0.2474916387959866,0.953846153846154,0.4499999999999999,0.5844675740592474,0.1926134078855423,0.0913140311804008,0.0714285714285714,0.2504173622704507,53.13,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2019,Canada,0.5618729096989966,0.0256410256410256,0.975,0.8098478783026422,0.9986864117465204,0.0155902004454343,0.0714285714285714,0.682804674457429,35.86,Orta Risk,Normal Durum
2002,Brazil,0.2274247491638796,0.6923076923076923,0.5,0.9907926341072856,0.2613420631753892,0.8730512249443206,0.9285714285714284,0.682804674457429,57.45,Yüksek Risk,Normal Durum
2004,Argentina,0.1605351170568562,0.082051282051282,0.125,0.3158526821457166,0.5306044155509517,0.2338530066815144,0.0714285714285714,0.5008347245409015,9.41,Düşük Risk,Normal Durum
2018,UK,0.6521739130434783,0.9128205128205128,0.7749999999999999,0.2982385908726981,0.0536068196859801,0.2093541202672605,0.6428571428571428,0.7779632721202003,80.44,Kritik Risk,Yüksek Karbon Emisyonu Uyarısı
2006,USA,0.3277591973244147,0.4666666666666666,0.675,0.965972778222578,0.5517001636988206,0.734966592427617,0.7857142857142857,0.8414023372287145,51.74,Yüksek Risk,Normal Durum
2020,China,0.5919732441471571,0.1384615384615384,0.7749999999999999,0.1244995996797438,0.3500653037367467,0.3184855233853007,0.0,0.5792988313856426,34.25,Orta Risk,Normal Durum
2008,Argentina,0.4347826086956521,0.3384615384615384,0.95,0.2145716573258606,0.8653434964581772,0.5055679287305123,0.2857142857142857,0.6176961602671118,45.79,Orta Risk,Normal Durum
2006,Mexico,0.9866220735785952,0.1641025641025641,0.7749999999999999,0.3678943154523618,0.7274314654969287,0.1603563474387528,0.5,0.2821368948247078,62.74,Yüksek Risk,Normal Durum
2017,Mexico,0.1505016722408027,0.1692307692307692,0.6,0.4307445956765412,0.8704283571538043,0.959910913140312,0.0714285714285714,0.8948247078464107,14.24,Düşük Risk,Normal Durum
2003,India,0.4648829431438126,0.9487179487179488,0.8500000000000001,0.5960768614891914,0.2289540413823932,0.8507795100222717,0.8571428571428571,0.023372287145242,83.38,Kritik Risk,Yüksek Karbon Emisyonu Uyarısı
2013,Argentina,0.6822742474916387,0.446153846153846,0.675,0.952762209767814,0.7691786601472588,0.8641425389755011,1.0,0.347245409015025,69.59,Yüksek Risk,Normal Durum
2017,China,0.3979933110367892,0.7897435897435897,0.4,0.3186549239391513,0.325325782582836,0.4053452115812918,0.2857142857142857,0.7212020033388981,51.2,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2008,Russia,0.976588628762542,0.641025641025641,0.875,0.1385108086469175,0.7373266954986643,0.7616926503340756,0.7857142857142857,0.0784641068447412,86.71,Kritik Risk,Normal Durum
2020,South Africa,0.725752508361204,0.6769230769230768,0.2249999999999999,0.1084867894315452,0.350222177592619,0.1425389755011136,0.5,0.1819699499165275,64.23,Yüksek Risk,Normal Durum
2001,Japan,0.6588628762541805,0.1333333333333333,0.725,0.2874299439551641,0.5990421809045957,0.0066815144766147,0.6428571428571428,0.5893155258764607,53.07,Yüksek Risk,Normal Durum
2019,India,0.7591973244147157,0.2358974358974358,0.875,0.7093674939951962,0.7852078236287062,0.0178173719376392,0.9285714285714284,0.5592654424040067,70.03,Yüksek Risk,Normal Durum
2014,Mexico,0.9565217391304348,0.7846153846153846,0.725,0.2734187349879904,0.0132296619254974,0.5857461024498887,0.2857142857142857,0.7378964941569282,73.21,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2006,Brazil,0.9096989966555185,0.9692307692307692,0.7,0.8506805444355483,0.8264936829294398,0.4543429844097996,0.0714285714285714,0.8130217028380633,73.2,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2011,Brazil,0.725752508361204,0.2615384615384615,0.75,0.2481985588470776,0.1890382175361228,0.5167037861915368,0.1428571428571428,0.1268781302170283,47.67,Orta Risk,Normal Durum
2007,USA,0.7525083612040133,0.2717948717948718,0.475,0.8158526821457166,0.2348479599654584,0.0044543429844098,1.0,0.01669449081803,68.94,Yüksek Risk,Normal Durum
2014,Russia,0.1471571906354515,0.4717948717948717,0.875,0.3783026421136909,0.3655521962956319,0.4209354120267261,0.3571428571428571,0.689482470784641,42.28,Orta Risk,Normal Durum
2002,Germany,0.1036789297658862,0.9846153846153846,0.2,0.9623698959167332,0.8979713853032485,0.7171492204899776,0.7142857142857142,0.3005008347245409,56.93,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2013,Mexico,0.5719063545150502,0.2666666666666666,0.125,0.2021617293835067,0.1104801704465904,0.4409799554565701,0.7142857142857142,0.6260434056761268,43.0,Orta Risk,Normal Durum
2016,Indonesia,0.020066889632107,0.4051282051282051,0.275,0.6329063250600481,0.1606716412958372,0.7305122494432071,0.2857142857142857,0.1485809682804674,24.32,Düşük Risk,Normal Durum
2003,Russia,0.4849498327759197,0.8923076923076921,0.525,0.0968775020016012,0.3617362460851708,0.2316258351893095,0.7142857142857142,0.4674457429048414,73.38,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2017,South Africa,0.2107023411371237,0.0051282051282051,0.5,0.2017614091273018,0.6733830505824321,0.8129175946547884,0.2142857142857142,0.5041736227045075,15.02,Düşük Risk,Normal Durum
2007,Japan,0.3478260869565217,0.041025641025641,0.825,0.1681345076060848,0.1372677680973378,0.5879732739420935,0.2142857142857142,0.5843071786310517,27.58,Orta Risk,Normal Durum
2003,China,0.7792642140468228,0.6051282051282051,0.4,0.9059247397918336,0.1445624644757664,0.2093541202672605,0.2857142857142857,0.5125208681135225,58.69,Yüksek Risk,Normal Durum
2001,Argentina,0.9431438127090302,0.9076923076923076,0.475,0.7489991993594876,0.7714506824147297,0.2360801781737194,0.0714285714285714,0.4941569282136895,71.08,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2005,Mexico,0.0735785953177257,0.241025641025641,0.025,0.4767814251401121,0.8069547036715294,0.6280623608017817,0.5714285714285714,0.332220367278798,21.8,Düşük Risk,Normal Durum
2021,Argentina,0.5351170568561873,0.4717948717948717,0.4,0.1313050440352281,0.3080713091287014,0.8285077951002227,0.0714285714285714,0.0701168614357262,39.7,Orta Risk,Normal Durum
2009,Brazil,0.8862876254180602,0.4512820512820513,0.65,0.2594075260208166,0.1211500586359465,0.4142538975501113,0.6428571428571428,0.0884808013355592,71.18,Yüksek Risk,Normal Durum
2003,China,0.0836120401337792,0.4717948717948717,0.025,0.5856685348278623,0.3578530316184664,0.2561247216035635,0.0714285714285714,0.4323873121869782,19.98,Düşük Risk,Normal Durum
2021,China,0.826086956521739,0.6205128205128204,0.275,0.1557245796637309,0.2373298368369652,0.8663697104677061,0.6428571428571428,0.3539232053422371,64.17,Yüksek Risk,Normal Durum
2017,China,0.3578595317725752,0.4717948717948717,0.2,0.6076861489191353,0.2166587456664728,0.6681514476614699,0.9285714285714284,0.5158597662771285,50.0,Yüksek Risk,Normal Durum
2011,Brazil,0.3244147157190635,0.446153846153846,0.0499999999999999,0.1517213771016813,0.4721324400973878,0.4476614699331849,0.5714285714285714,0.3038397328881469,39.01,Orta Risk,Normal Durum
2001,South Africa,0.9799331103678928,0.4717948717948717,0.475,0.2962369895916733,0.970709996613053,0.487750556792873,0.9285714285714284,0.687813021702838,74.51,Yüksek Risk,Normal Durum
2009,Argentina,0.2006688963210702,0.5897435897435898,0.175,0.8042433947157726,0.3594154559221354,0.2026726057906459,0.1428571428571428,0.8631051752921535,30.24,Orta Risk,Normal Durum
2003,France,0.6956521739130435,0.5384615384615384,0.75,0.3274619695756605,0.3267537745447592,0.6258351893095769,1.0,0.2971619365609348,76.64,Kritik Risk,Normal Durum
2013,Argentina,0.822742474916388,0.8564102564102564,0.8500000000000001,0.2686148919135308,0.7112419329991051,0.356347438752784,0.6428571428571428,0.1919866444073455,87.76,Kritik Risk,Yüksek Karbon Emisyonu Uyarısı
2015,Australia,0.040133779264214,0.0512820512820512,0.55,0.7085668534827863,0.3047790394624592,0.99554565701559,0.4285714285714285,0.1151919866444073,18.99,Düşük Risk,Normal Durum
2014,Japan,0.6722408026755853,0.8307692307692307,0.975,0.4843875100080064,0.8198627132245452,0.4788418708240535,0.2142857142857142,0.6160267111853088,70.4,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2007,Indonesia,0.9531772575250836,0.8461538461538461,0.4499999999999999,0.3714971977582065,0.1973403375909646,0.4855233853006682,0.8571428571428571,0.4424040066777963,86.94,Kritik Risk,Yüksek Karbon Emisyonu Uyarısı
2013,France,0.1237458193979932,0.2871794871794871,0.525,0.6156925540432345,0.0493442403546463,0.5657015590200446,0.8571428571428571,0.1869782971619366,42.8,Orta Risk,Normal Durum
2022,Japan,0.8996655518394648,0.4615384615384615,1.0,0.3646917534027222,0.3087784827286055,0.9175946547884186,0.3571428571428571,0.652754590984975,64.76,Yüksek Risk,Normal Durum
2007,India,0.5953177257525083,0.4410256410256409,0.2249999999999999,0.2570056044835869,0.8753607470345633,0.799554565701559,0.9285714285714284,0.1469115191986644,58.17,Yüksek Risk,Normal Durum
2020,Russia,0.6187290969899665,0.2205128205128205,0.95,0.1701361088871096,0.6172515889060654,0.4498886414253897,0.2142857142857142,0.5542570951585976,46.08,Orta Risk,Normal Durum
2015,Russia,0.6153846153846153,0.3948717948717948,0.0499999999999999,0.200160128102482,0.0511377529006814,0.7171492204899776,0.6428571428571428,0.5258764607679466,44.86,Orta Risk,Normal Durum
2012,Canada,0.3010033444816053,0.0461538461538461,0.4499999999999999,0.2914331465172137,0.8772269237521664,0.5857461024498887,1.0,0.7345575959933222,37.94,Orta Risk,Normal Durum
2017,Russia,0.9397993311036787,0.2769230769230769,0.075,0.5132105684547638,0.4011854193541873,0.4922048997772829,0.4285714285714285,0.0534223706176961,50.02,Yüksek Risk,Normal Durum
2014,Argentina,0.9498327759197324,0.8153846153846153,0.725,0.8474779823859087,0.5688840865846078,0.1915367483296213,0.0,0.8881469115191987,68.56,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2020,Brazil,0.6287625418060201,0.282051282051282,0.6,0.1821457165732586,0.8921406071176473,0.4632516703786191,0.1428571428571428,0.7028380634390651,39.37,Orta Risk,Normal Durum
2023,Indonesia,0.785953177257525,0.8205128205128205,0.7,0.8947157726180945,0.6190955997033066,0.244988864142539,0.8571428571428571,0.2153589315525876,88.36,Kritik Risk,Yüksek Karbon Emisyonu Uyarısı
2012,Germany,0.6153846153846153,0.5333333333333333,0.375,0.1156925540432345,0.7926772966923231,0.915367483296214,0.1428571428571428,0.1819699499165275,44.56,Orta Risk,Normal Durum
2008,USA,0.4849498327759197,0.8820512820512819,0.375,0.3674939951961569,0.8155861001419809,0.334075723830735,0.0,0.4307178631051752,52.03,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2014,Canada,0.6622073578595318,0.5743589743589743,0.0499999999999999,0.9359487590072058,0.8670935147101637,0.953229398663697,0.3571428571428571,0.8180300500834724,42.62,Orta Risk,Normal Durum
2012,UK,0.5551839464882943,0.0307692307692307,0.35,0.787830264211369,0.5213669431775938,0.532293986636971,1.0,0.8430717863105175,43.06,Orta Risk,Normal Durum
2000,UK,0.5986622073578595,0.6769230769230768,0.925,0.3018414731785428,0.9784359757022814,0.6302895322939867,0.8571428571428571,0.5191986644407346,77.09,Kritik Risk,Normal Durum
2006,USA,0.785953177257525,0.0461538461538461,0.375,0.6633306645316253,0.292899296081995,0.5412026726057906,0.7142857142857142,0.8597662771285475,44.01,Orta Risk,Normal Durum
2008,Japan,0.4816053511705684,0.4512820512820513,0.825,0.7337870296236989,0.1713996804872112,0.1269487750556793,0.9285714285714284,0.003338898163606,71.28,Yüksek Risk,Normal Durum
2023,USA,0.040133779264214,0.9282051282051282,0.8500000000000001,0.522417934347478,0.3473322662103538,0.3741648106904231,0.5714285714285714,0.0333889816360601,65.21,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2000,USA,0.1638795986622073,0.1641025641025641,0.375,0.6269015212169735,0.5280045745005166,0.0979955456570155,0.5,0.9115191986644406,26.18,Orta Risk,Normal Durum
2011,UK,0.4414715719063544,0.3897435897435897,0.625,0.7477982385908727,0.1439669357758917,0.6213808463251671,0.7142857142857142,0.7746243739565943,50.81,Yüksek Risk,Normal Durum
2007,Canada,0.725752508361204,0.7282051282051282,0.0999999999999999,0.1501200960768614,0.3382803057605451,0.44543429844098,0.4285714285714285,0.4490818030050083,58.5,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2023,India,0.5953177257525083,0.8820512820512819,0.0999999999999999,0.4715772618094476,0.5054616533517868,0.77728285077951,0.6428571428571428,0.7529215358931552,61.56,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2010,Argentina,0.6521739130434783,0.6717948717948717,0.0499999999999999,0.2025620496397117,0.141138458119288,0.2182628062360802,0.5,0.9549248747913188,53.22,Yüksek Risk,Normal Durum
2018,China,0.4816053511705684,0.2564102564102564,0.575,0.5744595676541233,0.1949973972967935,0.1625835189309576,0.3571428571428571,0.7712854757929882,40.15,Orta Risk,Normal Durum
2016,Russia,0.6187290969899665,0.6769230769230768,0.425,0.2229783827061649,0.7679177619766443,0.4053452115812918,0.5714285714285714,0.8414023372287145,60.68,Yüksek Risk,Normal Durum
2007,Russia,0.3311036789297659,0.2974358974358974,0.55,0.923138510808647,0.9764300334729726,0.9265033407572384,0.1428571428571428,0.7595993322203672,26.53,Orta Risk,Normal Durum
2002,Brazil,0.471571906354515,0.717948717948718,0.525,0.1677341873498799,0.6772159885647878,0.7104677060133631,1.0,0.1669449081803005,72.45,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2002,Canada,0.745819397993311,0.953846153846154,0.35,0.6208967173738991,0.0452679839389293,0.4187082405345211,0.6428571428571428,0.8330550918196995,75.31,Kritik Risk,Yüksek Karbon Emisyonu Uyarısı
2000,Brazil,0.8762541806020067,0.7230769230769231,0.675,0.120896717373899,0.1806280797971008,0.5167037861915368,0.6428571428571428,0.1936560934891485,80.18,Kritik Risk,Yüksek Karbon Emisyonu Uyarısı
2004,Germany,0.4347826086956521,0.8615384615384615,0.75,0.3763010408326661,0.3136331666508274,0.0824053452115813,0.5714285714285714,0.8931552587646077,69.6,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2009,Germany,0.0434782608695652,0.0,0.025,0.5204163330664532,0.0435325829218468,0.9844097995545658,0.2142857142857142,0.4574290484140233,0.0,Düşük Risk,Normal Durum
2006,Brazil,0.1638795986622073,0.717948717948718,0.2,0.4355484387510008,0.7741647276552059,0.6659242761692651,0.4285714285714285,0.676126878130217,39.73,Orta Risk,Yüksek Karbon Emisyonu Uyarısı
2008,Canada,0.020066889632107,0.8307692307692307,0.725,0.8622898318654924,0.30504117650025,0.2828507795100223,1.0,0.4958263772954924,66.97,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2006,Brazil,0.6555183946488294,0.041025641025641,0.375,0.9263410728582866,0.0474965061708149,0.5857461024498887,0.8571428571428571,0.0918196994991652,47.82,Orta Risk,Normal Durum
2008,Russia,0.334448160535117,0.8717948717948717,0.65,0.9079263410728582,0.7484704642954418,0.1069042316258351,0.5714285714285714,0.2888146911519198,68.6,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2007,France,0.5451505016722408,0.2564102564102564,0.35,0.7309847878302642,0.0992784666731156,0.9665924276169264,0.0714285714285714,0.9833055091819698,24.51,Düşük Risk,Normal Durum
2011,Australia,0.4949832775919732,0.6666666666666666,0.4,0.621297037630104,0.3162408549466319,0.1737193763919822,0.0714285714285714,0.9599332220367278,44.26,Orta Risk,Normal Durum
2001,UK,0.0802675585284281,0.8,0.15,0.27662129703763,0.598919209387919,0.6481069042316259,0.5714285714285714,0.3188647746243739,45.15,Orta Risk,Yüksek Karbon Emisyonu Uyarısı
2000,UK,0.4046822742474917,0.6615384615384615,0.25,0.1012810248198558,0.243809149589828,0.2427616926503341,0.7857142857142857,0.996661101836394,55.56,Yüksek Risk,Normal Durum
2015,Indonesia,0.2207357859531772,0.0923076923076922,0.6,0.5912730184147318,0.0306137613374161,0.7171492204899776,0.8571428571428571,0.8447412353923205,34.91,Orta Risk,Normal Durum
2022,USA,0.4214046822742475,0.5948717948717948,0.425,0.920336269015212,0.5625335012390257,0.77728285077951,0.1428571428571428,0.6110183639398998,39.95,Orta Risk,Normal Durum
2022,Australia,0.2040133779264213,0.5487179487179487,0.7749999999999999,0.1020816653322657,0.2313257324219001,0.6726057906458797,0.5714285714285714,0.0383973288814691,52.87,Yüksek Risk,Normal Durum
2023,Argentina,0.842809364548495,0.9025641025641026,0.8500000000000001,0.9723779023218576,0.3868362603900661,0.6146993318485524,0.8571428571428571,0.9015025041736228,89.42,Kritik Risk,Yüksek Karbon Emisyonu Uyarısı
2004,Canada,0.1739130434782608,0.4051282051282051,0.55,0.1761409127301841,0.1066398093748934,0.8930957683741649,1.0,0.5559265442404007,48.45,Orta Risk,Normal Durum
2002,South Africa,0.963210702341137,0.323076923076923,0.75,0.7526020816653323,0.2499939602621724,0.0757238307349666,0.2857142857142857,0.8681135225375627,59.03,Yüksek Risk,Normal Durum
2011,Australia,0.4180602006688962,0.7487179487179486,0.3,0.4451561248999199,0.7569301952759379,0.3296213808463251,0.3571428571428571,0.8347245409015025,49.97,Orta Risk,Yüksek Karbon Emisyonu Uyarısı
2007,Indonesia,0.8494983277591973,0.4102564102564102,0.425,0.975180144115292,0.8190960171130292,0.2472160356347438,0.0714285714285714,0.8330550918196995,46.51,Orta Risk,Normal Durum
2021,Germany,0.6321070234113711,0.6461538461538461,0.725,0.232185748598879,0.9291124142099756,0.9888641425389756,0.5,0.6978297161936561,61.03,Yüksek Risk,Normal Durum
2002,Japan,0.7391304347826088,0.6461538461538461,0.375,0.6941553242594075,0.4931145854811914,0.3875278396436525,0.7142857142857142,0.2904841402337229,69.43,Yüksek Risk,Normal Durum
2000,USA,0.7692307692307692,0.8871794871794871,0.6,0.0068054443554843,0.1131910334403163,0.732739420935412,0.5714285714285714,0.335559265442404,77.57,Kritik Risk,Yüksek Karbon Emisyonu Uyarısı
2002,Indonesia,0.5050167224080268,0.5999999999999999,0.175,0.4495596477181746,0.4564001607165229,0.6837416481069042,0.0714285714285714,0.3071786310517529,38.77,Orta Risk,Normal Durum
2004,China,0.5451505016722408,0.5025641025641026,0.6,0.5520416333066454,0.589786031312151,0.2093541202672605,0.3571428571428571,0.018363939899833,56.16,Yüksek Risk,Normal Durum
2014,South Africa,0.5150501672240801,0.1384615384615384,0.8500000000000001,0.6261008807045636,0.6738725201798546,0.2383073496659243,0.3571428571428571,0.5826377295492488,42.62,Orta Risk,Normal Durum
2013,Canada,0.5886287625418061,0.1179487179487179,0.875,0.8322658126501201,0.378790987264581,0.2806236080178174,0.5,0.6978297161936561,47.18,Orta Risk,Normal Durum
2002,USA,0.0301003344481605,0.1538461538461538,0.725,0.7974379503602882,0.8351348256585448,0.4097995545657016,0.6428571428571428,0.8530884808013355,30.15,Orta Risk,Normal Durum
2000,Argentina,0.3979933110367892,0.1743589743589743,0.75,0.6188951160928743,0.4027807641942655,0.2316258351893095,0.7857142857142857,0.1385642737896493,51.91,Yüksek Risk,Normal Durum
2004,Australia,0.608695652173913,0.6358974358974359,0.55,0.344275420336269,0.9728120579092948,0.0178173719376392,0.2857142857142857,0.5442404006677797,58.32,Yüksek Risk,Normal Durum
2022,Germany,0.5986622073578595,0.7384615384615384,0.575,0.0612489991993594,0.9527038670029504,0.8797327394209354,0.5714285714285714,0.006677796327212,67.39,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2013,India,0.7959866220735786,0.5282051282051282,0.125,0.3614891913530824,0.6201159741335788,0.9665924276169264,0.0,0.0934891485809682,42.0,Orta Risk,Normal Durum
2006,France,0.6588628762541805,0.8307692307692307,0.4499999999999999,0.5076060848678943,0.5213522843165483,0.3407572383073496,0.5714285714285714,0.0534223706176961,73.43,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2008,China,0.9966555183946488,0.9897435897435896,0.4499999999999999,0.1613290632506004,0.8007641485916546,0.3363028953229399,0.6428571428571428,0.7245409015025042,87.49,Kritik Risk,Yüksek Karbon Emisyonu Uyarısı
2014,South Africa,0.2842809364548495,0.8205128205128205,0.95,0.3370696557245797,0.5418319504983188,0.0044543429844098,0.4285714285714285,0.0801335559265442,69.1,Yüksek Risk,Yüksek Karbon Emisyonu Uyarısı
2014,France,0.3612040133779264,0.6974358974358974,0.425,0.7129703763010408,0.9166857262960248,0.6792873051224945,0.2142857142857142,0.7161936560934891,43.64,Orta Risk,Normal Durum
